DieName,DieLtr,DieNo,Width,Length,CornerRadius
R-820,R,820,2.00,4.00,0.00
R-821,R,821,3.00,4.00,0.00
R-822,R,822,3.75,2.63,0.00
R-824,R,824,2.69,3.63,0.00
R-825,R,825,4.13,3.63,0.00
R-826,R,826,2.88,3.50,0.06
R-827,R,827,4.10,6.10,0.00
R-828,R,828,4.38,15.63,0.13
R-829,R,829,4.88,2.63,0.00
R-830,R,830,3.50,3.25,0.02
R-831,R,831,5.50,16.00,0.13
R-832,R,832,1.25,2.88,0.13
R-833,R,833,2.01,1.44,0.00
R-834,R,834,4.50,6.25,0.00
R-835,R,835,1.75,6.14,0.13
R-836,R,836,3.50,9.50,0.13
R-837,R,837,2.50,2.00,0.25
R-838,R,838,2.17,8.62,0.25
R-839,R,839,2.25,3.00,0.03
R-840,R,840,4.00,2.50,0.00
R-841,R,841,2.30,5.00,0.13
R-842,R,842,3.75,2.00,0.00
R-843,R,843,3.44,2.44,0.00
R-844,R,844,0.94,1.38,0.05
R-845,R,845,3.75,14.00,0.00
R-846,R,846,2.50,2.00,0.00
R-847,R,847,1.08,0.96,0.19
R-848,R,848,2.53,1.73,0.13
R-849,R,849,1.25,2.75,0.13
R-850,R,850,2.38,1.75,0.13
R-851/3,R,851,3.75,10.75,0.06
R-852,R,852,4.00,3.00,0.00
R-853/0,R,853,7.00,7.00,0.13
R-854,R,854,2.75,7.00,0.00
R-855,R,855,3.00,0.48,0.00
R-856,R,856,0.50,2.38,0.13
R-857,R,857,3.88,1.50,0.22
R-858,R,858,2.25,1.63,0.25
R-859,R,859,3.45,1.90,0.00
R-860,R,860,3.63,1.75,0.31
R-861,R,861,4.50,3.00,0.00
R-862,R,862,0.94,0.81,0.06
R-863,R,863,6.00,12.81,0.13
R-864,R,864,1.94,1.94,0.06
R-865,R,865,5.00,12.00,0.13
R-866,R,866,3.13,3.50,0.25
R-867,R,867,0.44,0.53,0.00
R-868,R,868,3.63,4.25,0.00
R-869,R,869,2.50,9.88,0.00
R-870,R,870,3.50,19.50,0.00
R-871,R,871,1.06,4.00,0.06
R-872T,R,872,3.25,6.44,0.14
R-873,R,873,3.25,7.25,0.06
R-874/3,R,874,6.00,12.63,0.13
R-876,R,876,3.25,14.50,0.13
R-877,R,877,4.31,12.75,0.16
R-878,R,878,5.38,9.75,0.13
R-879/3,R,879,2.50,4.88,0.13
R-880,R,880,0.50,9.00,0.13
R-881,R,881,1.50,11.25,0.13
R-882,R,882,2.63,4.25,0.13
R-883,R,883,4.75,2.50,0.13
R-884,R,884,2.75,4.00,0.00
R-885,R,885,3.25,3.00,0.00
R-886,R,886,2.75,7.13,0.13
R-887,R,887,0.75,11.13,0.13
R-888,R,888,0.50,7.00,0.03
R-889,R,889,3.63,3.50,0.00
R-890/3,R,890,3.75,4.00,0.00
R-890,R,890,3.75,4.00,0.00
R-891,R,891,3.28,1.94,0.28
R-892/3,R,892,3.40,8.20,0.03
R-893,R,893,3.50,15.00,0.13
R-894,R,894,3.00,6.50,0.00
R-895,R,895,2.75,2.75,0.25
R-896,R,896,2.00,2.00,0.40
R-897,R,897,5.00,2.50,0.00
R-899/0,R,899,4.50,12.38,0.13
R-900,R,900,5.00,5.00,0.00
R-901,R,901,3.25,0.31,0.00
R-902/3,R,902,3.75,7.25,0.13
R-903,R,903,5.38,18.25,0.13
R-904,R,904,0.38,0.75,0.06
R-905,R,905,3.75,2.50,0.00
R-906,R,906,2.45,6.63,0.13
R-907,R,907,3.63,2.50,0.00
R-908,R,908,3.75,2.25,0.00
R-909/3,R,909,5.00,11.00,0.13
R-910,R,910,3.13,9.50,0.13
R-911,R,911,1.06,4.63,0.06
R-912,R,912,3.50,6.50,0.13
R-913,R,913,4.00,6.50,0.13
R-914,R,914,5.50,3.00,0.13
R-915,R,915,3.50,5.69,0.13
R-916,R,916,4.40,3.58,0.13
R-917,R,917,2.33,5.83,0.09
R-918,R,918,1.13,3.00,0.11
R-919,R,919,3.00,6.63,0.09
R-920,R,920,1.16,4.25,0.00
R-921,R,921,4.75,9.88,0.00
R-922,R,922,1.00,8.38,0.00
R-923,R,923,2.75,12.19,0.00
R-924,R,924,0.65,6.63,0.06
R-925,R,925,0.79,1.00,0.00
R-926,R,926,0.65,5.78,0.05
R-928/0,R,928,7.38,10.38,0.25
R-929,R,929,4.94,11.13,0.13
R-931,R,931,2.50,7.25,0.06
R-932,R,932,4.88,8.00,0.00
R-933,R,933,1.88,7.50,0.06
R-934,R,934,3.25,6.50,0.00
R-935,R,935,4.25,11.36,0.13
R-936,R,936,6.00,2.75,0.00
R-937,R,937,0.88,2.00,0.00
R-939,R,939,2.69,2.38,0.00
R-940,R,940,4.13,14.88,0.23
R-941,R,941,5.35,4.91,0.00
R-942,R,942,4.50,17.00,0.13
R-943,R,943,1.56,3.50,0.13
R-944,R,944,1.75,7.38,0.06
R-945/3,R,945,6.25,17.50,0.13
R-946,R,946,2.63,2.88,0.00
R-947,R,947,4.50,3.56,0.00
R-948,R,948,5.38,3.56,0.00
R-949,R,949,5.00,2.88,0.00
R-950,R,950,3.88,3.88,0.00
R-951,R,951,4.00,14.88,0.23
R-953,R,953,2.13,2.20,0.13
R-955,R,955,3.50,3.25,0.00
R-956,R,956,4.08,10.00,0.13
R-957,R,957,4.56,2.81,0.00
R-958,R,958,3.88,14.88,0.23
R-959,R,959,1.49,1.74,0.13
R-960,R,960,1.31,5.88,0.06
R-961,R,961,2.75,6.81,0.00
R-962,R,962,0.84,2.94,0.00
R-963,R,963,0.54,3.20,0.02
R-964,R,964,0.80,4.20,0.00
R-965,R,965,1.20,4.20,0.00
R-966,R,966,4.50,2.75,0.00
R-967,R,967,2.88,2.88,0.00
R-968,R,968,4.61,1.80,0.00
R-969,R,969,5.00,2.00,0.00
R-972,R,972,3.00,2.25,0.00
R-973,R,973,6.00,8.00,0.00
R-974,R,974,2.75,4.38,0.13
R-975,R,975,1.63,3.31,0.13
R-976/3,R,976,4.25,11.00,0.19
R-977,R,977,3.50,4.75,0.00
R-978,R,978,4.00,3.63,0.00
R-979,R,979,4.88,5.63,0.00
R-980,R,980,5.75,2.75,0.00
R-983,R,983,6.25,6.50,0.00
R-984,R,984,1.50,4.00,0.00
R-985,R,985,4.15,5.75,0.00
R-987,R,987,6.00,9.00,0.22
R-988,R,988,6.50,3.50,0.00
R-989,R,989,3.00,3.63,0.00
R-991,R,991,5.00,15.00,0.13
R-992,R,992,0.75,2.25,0.13
R-993,R,993,2.13,4.25,0.00
R-994,R,994,2.20,2.13,0.00
R-996,R,996,2.88,8.13,0.13
R-997,R,997,5.25,9.00,0.13
R-998,R,998,2.81,6.62,0.00
R-999,R,999,2.02,1.52,0.00
R-1000/3,R,1000,5.25,12.38,0.13
R-1001,R,1001,2.36,5.91,0.13
R-1002/3,R,1002,8.44,8.38,0.13
R-1003,R,1003,6.75,9.00,0.13
R-1004,R,1004,2.50,12.00,0.13
R-1005,R,1005,5.00,9.00,0.13
R-1006,R,1006,4.00,7.75,0.06
R-1007,R,1007,2.81,8.25,0.13
R-1008,R,1008,4.00,1.50,0.00
R-1009/3,R,1009,8.00,10.00,0.00
R-1010,R,1010,2.50,14.50,0.13
R-1011B,R,1011,3.25,3.20,0.00
R-1012/3,R,1012,7.00,10.75,0.00
R-1013,R,1013,4.00,2.38,0.00
R-1014,R,1014,3.63,13.13,0.13
R-1015,R,1015,5.13,18.25,0.13
R-1016/3,R,1016,7.00,11.44,0.13
R-1017/0,R,1017,9.00,8.38,0.13
R-1018,R,1018,2.13,7.00,0.00
R-1019,R,1019,2.81,6.00,0.13
R-1020,R,1020,5.25,16.25,0.13
R-1021,R,1021,1.33,5.33,0.13
R-1022,R,1022,3.50,7.50,0.00
R-1023,R,1023,2.00,1.34,0.20
R-1024,R,1024,1.75,3.00,0.00
R-1026,R,1026,4.13,3.38,0.00
R-1026/3,R,1026,4.13,3.38,0.00
R-1027,R,1027,4.38,3.63,0.00
R-1028,R,1028,0.75,0.75,0.00
R-1029,R,1029,2.50,2.06,0.00
R-1030,R,1030,3.00,3.56,0.00
R-1031,R,1031,3.50,1.75,0.00
R-1032,R,1032,2.50,1.38,0.00
R-1033,R,1033,2.43,1.50,0.03
R-1036,R,1036,2.56,3.90,0.09
R-1037,R,1037,3.01,6.85,0.16
R-1038,R,1038,4.50,1.75,0.00
R-1039,R,1039,0.75,11.50,0.00
R-1040,R,1040,1.31,6.38,0.00
R-1041,R,1041,1.50,1.75,0.09
R-1042,R,1042,2.00,2.75,0.19
R-1043,R,1043,3.78,2.25,0.02
R-1044,R,1044,3.84,2.38,0.02
R-1045,R,1045,5.25,15.00,0.00
R-1046,R,1046,4.94,3.19,0.02
R-1047/3,R,1047,7.00,10.00,0.00
R-1048,R,1048,4.00,6.00,0.00
R-1049,R,1049,2.81,1.63,0.00
R-1050,R,1050,3.00,1.75,0.00
R-1051,R,1051,5.25,2.25,0.00
R-1052,R,1052,4.75,6.09,0.00
R-1053,R,1053,0.56,4.81,0.00
R-1055,R,1055,3.00,2.00,0.00
R-1056,R,1056,5.50,4.50,0.13
R-1057,R,1057,0.50,5.50,0.00
R-1058,R,1058,4.63,9.88,0.13
R-1058/3,R,1058,4.63,9.88,0.13
R-1059,R,1059,2.63,5.50,0.13
R-1060,R,1060,0.38,6.00,0.06
R-1061,R,1061,2.50,4.50,0.00
R-1062,R,1062,0.86,3.00,0.00
R-1063,R,1063,3.56,4.00,0.00
R-1064,R,1064,3.06,2.88,0.00
R-1065,R,1065,3.18,1.75,0.00
R-1066,R,1066,5.50,5.25,0.03
R-1067,R,1067,4.93,2.50,0.00
